,,,MIS  ,,CO,,,
ISIN,,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INE470A01017,3MINDIA,523395,15.26,20.00,5,20.00,10,5
INE767A01016,AARTIDRUGS,524348,20.29,20.00,5,20.00,10,5
INE769A01020,AARTIIND,524208,18.17,20.00,5,20.00,10,5
INE216P01012,AAVAS,541988,19.18,20.00,5,20.00,10,5
INE117A01022,ABB,500002,16.79,20.00,5,20.00,10,5
INE358A01014,ABBOTINDIA,500488,14.67,20.00,5,20.00,10,5
INE674K01013,ABCAPITAL,540691,21.35,20.00,5,20.00,10,5
INE647O01011,ABFRL,535755,20.60,20.00,5,20.00,10,5
INE012A01025,ACC,500410,14.24,20.00,5,20.00,10,5
INE793A01012,ACCELYA,532268,19.43,20.00,5,20.00,10,5
INE423A01024,ADANIENT,512599,29.71,20.00,5,20.00,10,5
INE742F01042,ADANIPORTS,532921,19.29,20.00,5,20.00,10,5
INE814H01011,ADANIPOWER,533096,26.58,20.00,5,20.00,10,5
INE837H01020,ADVENZYMES,540025,20.15,20.00,5,20.00,10,5
INE208C01025,AEGISCHEM,500003,21.81,20.00,5,20.00,10,5
INE212H01026,AIAENG,532683,14.74,20.00,5,20.00,10,5
INE031B01049,AJANTPHARM,532331,15.31,20.00,5,20.00,10,5
INE133A01011,AKZOINDIA,500710,13.20,20.00,5,20.00,10,5
INE426A01027,ALEMBICLTD,506235,21.87,20.00,5,20.00,10,5
INE540L01014,ALKEM,539523,13.97,20.00,5,20.00,10,5
INE270A01029,ALOKINDS,521070,25.68,20.00,5,20.00,10,5
INE885A01032,AMARAJABAT,500008,14.74,20.00,5,20.00,10,5
INE371P01015,AMBER,540902,20.25,20.00,5,20.00,10,5
INE079A01024,AMBUJACEM,500425,15.79,20.00,5,20.00,10,5
INE098F01031,AMRUTANJAN,590006,19.30,20.00,5,20.00,10,5
INE732I01013,ANGELONE,543235,12.54,20.00,5,20.00,10,5
INE372A01015,APARINDS,532259,20.46,20.00,5,20.00,10,5
INE901L01018,APLLTD,533573,17.18,20.00,5,20.00,10,5
INE437A01024,APOLLOHOSP,508869,20.21,20.00,5,20.00,10,5
INE438A01022,APOLLOTYRE,500877,19.13,20.00,5,20.00,10,5
INE439A01020,ASAHIINDIA,515030,22.34,20.00,5,20.00,10,5
INE442H01029,ASHOKA,533271,22.53,20.00,5,20.00,10,5
INE208A01029,ASHOKLEY,500477,21.03,20.00,5,20.00,10,5
INE021A01026,ASIANPAINT,500820,14.46,20.00,5,20.00,10,5
INE914M01019,ASTERDM,540975,20.30,20.00,5,20.00,10,5
INE006I01046,ASTRAL,532830,19.73,20.00,5,20.00,10,5
INE203A01020,ASTRAZEN,506820,17.09,20.00,5,20.00,10,5
INE100A01010,ATUL,500027,16.14,20.00,5,20.00,10,5
INE949L01017,AUBANK,540611,22.45,20.00,5,20.00,10,5
INE406A01037,AUROPHARMA,524804,18.36,20.00,5,20.00,10,5
INE871C01038,AVANTIFEED,512573,18.33,20.00,5,20.00,10,5
INE238A01034,AXISBANK,532215,18.66,20.00,5,20.00,10,5
INE917I01010,BAJAJ-AUTO,532977,13.77,20.00,5,20.00,10,5
