date,symbol,marketcapname,sector
11-06-2021,HIRECT,Smallcap,FMCG
11-06-2021,MANUGRAPH,Smallcap,FMCG
11-06-2021,RUCHINFRA,Smallcap,Miscellaneous
11-06-2021,KEYFINSERV,Smallcap,Finance
11-06-2021,AARVEEDEN,Smallcap,Textiles
11-06-2021,ASHIMASYN,Smallcap,Textiles
11-06-2021,DIGISPICE,Smallcap,Telecom
11-06-2021,NFL,Smallcap,Industrials
11-06-2021,PKTEA,Smallcap,FMCG
11-06-2021,UNITEDTEA,Smallcap,FMCG
11-06-2021,CUBEXTUB,Smallcap,Metals
11-06-2021,AJOONI,Smallcap,Miscellaneous
11-06-2021,SRPL,Smallcap,FMCG
11-06-2021,DBSTOCKBRO,Smallcap,Services
11-06-2021,ICICILOVOL,Smallcap,Indices
11-06-2021,MAN50ETF,Smallcap,Indices
11-06-2021,ACCELYA,Smallcap,I.T
11-06-2021,TIPSINDLTD,Smallcap,Media
11-06-2021,MRO-TEK,Smallcap,I.T
11-06-2021,MEGASOFT,Smallcap,I.T
11-06-2021,BASML,Smallcap,Textiles
11-06-2021,GAYAPROJ,Smallcap,Realty
11-06-2021,SHIVAMAUTO,Smallcap,Auto
11-06-2021,TFL,Smallcap,Finance
11-06-2021,GOENKA,Smallcap,Miscellaneous
11-06-2021,ADL,Smallcap,Miscellaneous
11-06-2021,DRCSYSTEMS,Smallcap,I.T
11-06-2021,IBULHSGFIN,Midcap,Finance
14-06-2021,AUTOLITIND,Smallcap,Auto
14-06-2021,KAVVERITEL,Smallcap,Telecom
14-06-2021,BHEL,Largecap,FMCG
14-06-2021,LUPIN,Largecap,Pharmaceuticals
14-06-2021,OILCOUNTUB,Smallcap,Metals
14-06-2021,TCIFINANCE,Smallcap,Finance
14-06-2021,SINTEX,Smallcap,Textiles
14-06-2021,ZENSARTECH,Midcap,I.T
14-06-2021,TIL,Smallcap,FMCG
14-06-2021,TIMESGTY,Smallcap,Finance
14-06-2021,ZENITHEXPO,Smallcap,Textiles
14-06-2021,ADANIENT,Largecap,Services
14-06-2021,NATNLSTEEL,Smallcap,Metals
14-06-2021,SHAHALLOYS,Smallcap,Metals
14-06-2021,DIGISPICE,Smallcap,Telecom
14-06-2021,MINDTECK,Smallcap,I.T
14-06-2021,INDLMETER,Smallcap,FMCG
14-06-2021,VADILALIND,Smallcap,FMCG
14-06-2021,LCCINFOTEC,Smallcap,I.T
14-06-2021,PEARLPOLY,Smallcap,FMCG
14-06-2021,AMBICAAGAR,Smallcap,Services
14-06-2021,GROBTEA,Smallcap,FMCG
14-06-2021,ORCHPHARMA,Smallcap,Pharmaceuticals
14-06-2021,APOLSINHOT,Smallcap,Services
14-06-2021,KILITCH,Smallcap,Pharmaceuticals
14-06-2021,PALASHSECU,Smallcap,Finance
14-06-2021,WEALTH,Smallcap,Finance
14-06-2021,AJOONI,Smallcap,Miscellaneous
14-06-2021,SRPL,Smallcap,FMCG
14-06-2021,SHIVAMILLS,Smallcap,Textiles
14-06-2021,AAKASH,Smallcap,Oils
14-06-2021,ADANIGREEN,Largecap,Miscellaneous
14-06-2021,STERTOOLS,Smallcap,Industrials
14-06-2021,IRISDOREME,Smallcap,Textiles
14-06-2021,ATGL,Largecap,Industrials
14-06-2021,BCG,Midcap,I.T
14-06-2021,AXISGOLD,Smallcap,Indices
14-06-2021,EBANK,Smallcap,Indices
14-06-2021,GOLDTECH,Smallcap,I.T
14-06-2021,MADHUCON,Smallcap,Realty
14-06-2021,ZENITHSTL,Smallcap,Metals
14-06-2021,ANGELBRKG,Midcap,Finance
14-06-2021,MRO-TEK,Smallcap,I.T
14-06-2021,AXISCADES,Smallcap,I.T
14-06-2021,BFUTILITIE,Smallcap,Miscellaneous
14-06-2021,MORARJEE,Smallcap,Textiles
14-06-2021,JPPOWER,Midcap,Miscellaneous
14-06-2021,NDL,Smallcap,Textiles
14-06-2021,EKC,Smallcap,Services
14-06-2021,GILLANDERS,Smallcap,Miscellaneous
14-06-2021,SUNTV,Midcap,Media
14-06-2021,TANTIACONS,Smallcap,Realty
14-06-2021,SHIVAMAUTO,Smallcap,Auto
14-06-2021,CCCL,Smallcap,Realty
14-06-2021,IL&FSENGG,Smallcap,Realty
14-06-2021,BVCL,Smallcap,Industrials
14-06-2021,ADANIPORTS,Largecap,Realty
14-06-2021,BURNPUR,Smallcap,Industrials
14-06-2021,JAIBALAJI,Smallcap,Metals
14-06-2021,IMFA,Smallcap,Industrials
14-06-2021,ADANIPOWER,Largecap,Miscellaneous
14-06-2021,RTNPOWER,Smallcap,Miscellaneous
14-06-2021,PRADIP,Smallcap,Textiles
14-06-2021,ISFT,Smallcap,I.T
14-06-2021,EROSMEDIA,Smallcap,Media
14-06-2021,GREENPOWER,Smallcap,Miscellaneous
14-06-2021,OMKARCHEM,Smallcap,Industrials
14-06-2021,YAARI,Smallcap,Services
14-06-2021,UJAAS,Smallcap,FMCG
14-06-2021,ORTEL,Smallcap,Media
14-06-2021,BALKRISHNA,Smallcap,Industrials
14-06-2021,ADANITRANS,Largecap,Miscellaneous
14-06-2021,AURUM,Smallcap,I.T
14-06-2021,BINDALAGRO,Smallcap,Finance
14-06-2021,PARAGMILK,Smallcap,FMCG
14-06-2021,SABEVENTS,Smallcap,Media
14-06-2021,PNBHOUSING,Midcap,Finance
15-06-2021,SALONA,Smallcap,Textiles
15-06-2021,PUNJABCHEM,Smallcap,Industrials
