date,symbol,marketcapname,sector
11-06-2021,TMRVL,Smallcap,FMCG
11-06-2021,ANSALAPI,Smallcap,Realty
11-06-2021,ICICISENSX,Smallcap,Indices
11-06-2021,FELDVR,Smallcap,FMCG
11-06-2021,JISLDVREQS,Smallcap,FMCG
11-06-2021,TIDEWATER,Smallcap,Industrials
11-06-2021,BAJAJHIND,Smallcap,FMCG
11-06-2021,HISARMETAL,Smallcap,Metals
11-06-2021,EASTSILK,Smallcap,Textiles
11-06-2021,SALONA,Smallcap,Textiles
11-06-2021,CENTEXT,Smallcap,Metals
11-06-2021,RADAAN,Smallcap,Media
11-06-2021,CGPOWER,Largecap,FMCG
11-06-2021,BALLARPUR,Smallcap,Industrials
11-06-2021,RELCAPITAL,Smallcap,Finance
11-06-2021,PSUBNKBEES,Smallcap,Indices
11-06-2021,SUULD,Smallcap,Services
11-06-2021,GTL,Smallcap,Telecom
11-06-2021,GFLLIMITED,Smallcap,Finance
11-06-2021,GLFL,Smallcap,Finance
11-06-2021,HCL-INSYS,Smallcap,I.T
11-06-2021,HCC,Smallcap,Realty
11-06-2021,NXTDIGITAL,Smallcap,Media
11-06-2021,HLVLTD,Smallcap,Services
11-06-2021,LGBBROSLTD,Smallcap,Auto
11-06-2021,LYKALABS,Smallcap,Pharmaceuticals
11-06-2021,MIRCELECTR,Smallcap,FMCG
11-06-2021,MOREPENLAB,Smallcap,Pharmaceuticals
11-06-2021,OSWALAGRO,Smallcap,Finance
11-06-2021,AMJLAND,Smallcap,Realty
11-06-2021,RAJSREESUG,Smallcap,FMCG
11-06-2021,ROLTA,Smallcap,I.T
11-06-2021,RELINFRA,Smallcap,Realty
11-06-2021,SPMLINFRA,Smallcap,Realty
11-06-2021,TOKYOPLAST,Smallcap,FMCG
11-06-2021,HARRMALAYA,Smallcap,FMCG
11-06-2021,HINDMOTORS,Smallcap,Auto
11-06-2021,PREMIER,Smallcap,FMCG
11-06-2021,EXCELINDUS,Smallcap,Industrials
